"1kSurvey_LevelReached","Наконец-то вышел уровень 1000!

Благодаря тебе и другим талантливым ювелирам со всего мира нам удалось сделать отличный уровень!

Уверена, что тебе он понравится!"
"1kSurvey_Presentation","Ого! С начала твоего чудесного приключения прошло много времени.

Думаю, у тебя уже есть представление о том, каким должен быть идеальный уровень 1000..."
"1kSurvey_PresentationOptOut","Нет, спасибо"
"1kSurvey_Q1","Отлично, тогда начнем! Какой игровой режим тебе больше всего нравится?"
"1kSurvey_Q1A1","«Коснись линии»"
"1kSurvey_Q1A2","«Матрешки»"
"1kSurvey_Q1A3","Шкатулки"
"1kSurvey_Q2A1","Птички"
"1kSurvey_Q2A2","Заряды"
"1kSurvey_Q2A3","Цветная бомба"
"1kSurvey_Q2T1T2T3","Интересно... А какая помощь лучше для прохождения уровней?"
"1kSurvey_Q3A1","Короткие"
"1kSurvey_Q3A2","Длинные"
"1kSurvey_Q3A3","Все"
"1kSurvey_Q3T1","Мне тоже нравятся птички! А ты предпочитаешь длинные или короткие уровни?"
"1kSurvey_Q3T2","Заряды самые крутые! А ты предпочитаешь длинные или короткие уровни?"
"1kSurvey_Q3T3","Славно избавиться от бусин одного цвета! А тебе нравятся длинные или короткие уровни?"
"1kSurvey_Q4A1","Собирать бустеры"
"1kSurvey_Q4A2","Убирать блокаторы"
"1kSurvey_Q4A3","Собирать бриллианты"
"1kSurvey_Q4T1T2T3","Мне тоже! А что тебе больше всего в них нравится?"
"1kSurvey_Q5A1","Ленточки"
"1kSurvey_Q5A2","Цветы"
"1kSurvey_Q5A3","Брошки"
"1kSurvey_Q5T1T2T3","Отличная стратегия! Препятствия усложняют жизнь... какие из них сложнее всего пройти?"
"1kSurvey_Q6A1","Духи"
"1kSurvey_Q6A2","Гравитация"
"1kSurvey_Q6A3","Замок и ключи"
"1kSurvey_Q6T1T2T3","Да, с ними непросто! А какой элемент тебе больше нравится?"
"1kSurvey_Thanks","Великолепно! Спасибо за помощь!

Твои ответы и мнения других талантливых ювелиров помогут нам сделать уровень 1000 потрясающим.

Продолжай играть, осталось совсем немного!"
"3_moves_reminder","Осталось 3 хода!"
"5_moves_reminder","Осталось 5 ходов!"
"Bernadetta_bottles_intro","Открывай флаконы и смотри, что будет!"
"Bernadetta_bottles_outro","Открой все флаконы!"
"Bernadetta_box_intro","Бриллианты спрятаны в шкатулках!"
"Bernadetta_box_outro","Открой все шкатулки!"
"Bernadetta_diamond_intro","Нельзя терять время. Давай собирать бриллианты!"
"Bernadetta_diamond_outro","Получилось!"
"Bernadetta_doll_intro","Бриллианты спрятаны в матрешках!"
"Bernadetta_doll_outro","Собери их все!"
"Bernadetta_hybrid_intro","Собери все бриллианты!"
"Bernadetta_hybrid_outro","У тебя получилось!"
"Block.Signin_button","Авторизоваться"
"Block_Body","Авторизуйтесь, чтобы начать игру"
"Block_celebratory_message","Вы успешно авторизовались!"
"Block_connectingserver","Подключение"
"Block_welcome","Добро пожаловать!"
"Cheering_text_blast_created","Создан заряд!"
"Cheering_text_color_blast_created","Создан цветной заряд!"
"Cheering_text_cross_created","Создан перекрестный заряд!"
"Cheering_text_cross_ray_created","Создан перекрестный луч!"
"Cheering_text_ray_created","Создан луч!"
"Cheering_text_star_created","Создан звездный заряд!"
"Cross_hammer_compensation","Sorry we've removed the Cross Blast Hammer!

Any you bought will be refunded in Gold to your bank."
"DDS.IGP.Sunset.Canvas.Body","Эта игра больше не будет доступна для игры на Facebook с 31.03.22, но вы все еще можете играть в мобильную версию на Android или iOS."
"DiDS.IGP.Sunset.Canvas.Download","Скачай бесплатно"
"DiDS.IGP.Sunset.Canvas.QRCode","Сканируй QR-код с помощью мобильного телефона, чтобы бесплатно скачать игру."
"Hint_Bottles_mode","Присоединяй флаконы!"
"Hint_Box_mode","Присоединяй шкатулки!"
"Hint_Diamond_mode","Соединяй бусины под бриллиантом!"
"Hint_Dolls_mode","Присоединяй матрешки!"
"Level","ур. {0}"
"NEW_KEY_1","Consent for Providing Personal Data to Third Parties 

Please see here for further information: www.king.com/ko/TTP-information"
"NEW_KEY_2","Consent for Overseas Transfer of Personal Data 

Please see here for further information: www.king.com/ko/TTP-information"
"PP_Title","Privacy Policy"
"PP_whole_text","Consent for the collection/use of personal data
Purposes of collection/use: (i) for the provision of services, managing your account and relationship with us, the handling of customer complaint, contacting you, identifying you and your device, provision of customized services, service improvements, promotion of our services, preventing cheating, crime and fraud and as otherwise set out in our Privacy Policy or required by law; and (ii), where you have chosen to allow it interacting with third party social networks and platforms, sending you push notifications and making use of your device’s advertising identifier.

^- Items of personal data collected/used: (i) age, gender, location (country), access time/date, information about the kind of device you use, IP address, information on your use of our services, information you provide us with when you fill in forms when using our services, content of communications between you and King, information automatically collected via cookie/local Storage/session Storage etc.; and (ii) where you have chosen to allow it, a) information shared with us by third party social networks and platforms e.g. your name and ID on that network/platform, your email address, your contact list and profile picture (b) information about your gameplay and use of our games; and (c) your device’s ad identifier.

^- Data retention/use period:  Your personal information will be destroyed without delay
once the purposes for which it was collected/used are fulfilled
unless otherwise provided in a privacy policy (e.g., if applicable law/regulation requires retention for a longer period).

^- You may refuse to give consent to the collection/use of personal data essential for the provision of the services. However, in the case of refusal, you may not use the services.

^Consent for Providing Personal Data to Third Parties

Please see here for further information: www.king.com/ko/TTP-information

^Consent for Overseas Transfer of Personal Data

Please see here for further information: www.king.com/ko/TTP-information"
"Pop_up_tips_title","Советы"
"Run_out_CTAbutton_run","Вперед!"
"TPP_00","Consent for the collection/use of personal data"
