"1kSurvey_LevelReached","Sonunda 1000. seviye hazır!

Sen ve dünyanın dört bir yanındaki dâhi mücevherciler sayesinde bu muhteşem seviyeyi yaptık.

Beğeneceğine eminim!"
"1kSurvey_Presentation","Vay canına! Bu harika yolculuğa başlayalı bayağı olmuş.

Harika bir 1000. seviyenin nasıl olacağı konusunda senin fikirlerine güveniyorum..."
"1kSurvey_PresentationOptOut","Hayır, sağ ol"
"1kSurvey_Q1","Harika, hadi başlayalım! En çok hangi oyun modunu seviyorsun?"
"1kSurvey_Q1A1","Sıraya Dokun"
"1kSurvey_Q1A2","Oyuncak"
"1kSurvey_Q1A3","Mücevher Kutuları"
"1kSurvey_Q2A1","Kuşlar"
"1kSurvey_Q2A2","Patlamalar"
"1kSurvey_Q2A3","Renk Bombası"
"1kSurvey_Q2T1T2T3","İlginç... Peki sence bir seviyede başarılı olmak için en iyi yardımcı hangisi?"
"1kSurvey_Q3A1","Kısa"
"1kSurvey_Q3A2","Uzun"
"1kSurvey_Q3A3","İkisi"
"1kSurvey_Q3T1","O kuşları ben de seviyorum! Kısa seviyeleri mi seviyorsun yoksa uzun olanları mı?"
"1kSurvey_Q3T2","Renkli patlamalar! Kısa seviyeleri mi seviyorsun yoksa uzun olanları mı?"
"1kSurvey_Q3T3","Bu renge elveda de! Kısa seviyeleri mi seviyorsun yoksa uzun olanları mı?"
"1kSurvey_Q4A1","Güçlendirici Yapmak"
"1kSurvey_Q4A2","Engelleyicileri Kaldırmak"
"1kSurvey_Q4A3","Elmas Toplamak"
"1kSurvey_Q4T1T2T3","Ben de! Bu seviyeleri oynarken en çok ne hoşuna gidiyor?"
"1kSurvey_Q5A1","Rozetler"
"1kSurvey_Q5A2","Çiçekler"
"1kSurvey_Q5A3","Broşlar"
"1kSurvey_Q5T1T2T3","Stratejik düşünce! Engeller işleri zorlaştırır... Sence en zoru hangisi?"
"1kSurvey_Q6A1","Parfüm"
"1kSurvey_Q6A2","Yer Çekimi"
"1kSurvey_Q6A3","Kilit&Anahtar"
"1kSurvey_Q6T1T2T3","Bu zordu! Hangi öğe sana göre daha eğlenceli?"
"1kSurvey_Thanks","Muhteşem! Yardımın için teşekkürler! 

Sen ve senin gibi diğer muhteşem mücevhercilerin fikirleri sayesinde 1000. seviye harika olacak. 

Oynamaya devam et, az kaldı!"
"3_moves_reminder","3 hamle kaldı!"
"5_moves_reminder","5 hamle kaldı!"
"Bernadetta_bottles_intro","Şişeleri aç ve olacakları gör!"
"Bernadetta_bottles_outro","Tüm şişeleri aç!"
"Bernadetta_box_intro","Elmaslar Mücevher Kutularının içinde saklı!"
"Bernadetta_box_outro","Tüm Kutuları aç!"
