"1kSurvey_LevelReached","Endlich! Level 1000 ist da!

Du und die anderen brillanten Juweliere weltweit haben uns geholfen, dieses tolle Level zu bauen.

Ich bin mir sicher, dass es dir gefällt!"
"1kSurvey_Presentation","Juhu! Es ist schon eine ganze Weile her, seit du auf diese wundervolle Reise aufgebrochen bist.

Kannst du mir helfen, Ideen für ein tolles Level 1000 zu sammeln?"
"1kSurvey_PresentationOptOut","Nein, danke"
"1kSurvey_Q1","Prima, legen wir los! Welcher Spielmodus gefällt dir am besten?"
"1kSurvey_Q1A1","Berühre die Linie"
"1kSurvey_Q1A2","Puppen"
"1kSurvey_Q1A3","Schatullen"
"1kSurvey_Q2A1","Vögel"
"1kSurvey_Q2A2","Sprenger"
"1kSurvey_Q2A3","Farbensprenger"
"1kSurvey_Q2T1T2T3","Interessant! Und mit welchem Helfer hast du die besten Chancen, ein Level zu meistern?"
"1kSurvey_Q3A1","Kurz"
"1kSurvey_Q3A2","Lang"
"1kSurvey_Q3A3","Beides"
"1kSurvey_Q3T1","Die Vögel mag ich auch! Was gefällt dir besser: kurze oder lange Levels?"
"1kSurvey_Q3T2","Farbensprenger sind toll! Was gefällt dir besser: kurze oder lange Levels?"
"1kSurvey_Q3T3","Tschüssi, Farbe! Was gefällt dir besser: kurze oder lange Levels?"
"1kSurvey_Q4A1","Booster herstellen"
"1kSurvey_Q4A2","Blockierer entfernen"
"1kSurvey_Q4A3","Diamanten sammeln"
"1kSurvey_Q4T1T2T3","Mir auch! Und was macht dir bei diesen Levels am meisten Spaß?"
"1kSurvey_Q5A1","Schleifen"
"1kSurvey_Q5A2","Blumen"
"1kSurvey_Q5A3","Broschen"
"1kSurvey_Q5T1T2T3","Tolle Strategie! Hindernisse können einem das Leben ganz schön schwer machen. Welche sind am schwierigsten?"
"1kSurvey_Q6A1","Parfüm"
"1kSurvey_Q6A2","Schwerkraft"
"1kSurvey_Q6A3","Schlüssel/Schloss"
"1kSurvey_Q6T1T2T3","Ja, die sind knifflig! Welches dieser Elemente macht dir mehr Spaß?"
"1kSurvey_Thanks","Fantastisch! Danke für deine Hilfe! 

Mit dem Feedback von dir und deinen tollen Juwelierkollegen wird Level 1000 ganz sicher eine Wucht! 

Spiele weiter, du hast es fast geschafft!"
"3_moves_reminder","Noch 3 Züge!"
"5_moves_reminder","Noch 5 Züge!"
"Bernadetta_bottles_intro","Öffne die Flakons und finde heraus, was passiert!"
"Bernadetta_bottles_outro","Öffne alle Flakons!"
"Bernadetta_box_intro","In den Schatullen stecken Diamanten!"
"Bernadetta_box_outro","Öffne alle Schatullen!"
"Bernadetta_diamond_intro","Es gibt keine Zeit zu verlieren. Lass uns Diamanten sammeln!"
"Bernadetta_diamond_outro","Geschafft!"
"Bernadetta_doll_intro","In den Puppen stecken Diamanten!"
"Bernadetta_doll_outro","Hol sie dir alle!"
"Bernadetta_hybrid_intro","Sammle alle Diamanten!"
"Bernadetta_hybrid_outro","Du hast sie alle!"
"Block.Signin_button","Anmelden"
"Block_Body","Melde dich an, um zu spielen."
"Block_celebratory_message","Erfolgreich angemeldet!"
"Block_connectingserver","Verbinden ..."
"Block_welcome","Willkommen!"
"Cheering_text_blast_created","Sprenger erzeugt!"
"Cheering_text_color_blast_created","Farbensprenger erzeugt!"
"Cheering_text_cross_created","Kreuzsprenger erzeugt!"
"Cheering_text_cross_ray_created","Kreuzstrahl erzeugt!"
"Cheering_text_ray_created","Strahl erzeugt"
"Cheering_text_star_created","Sternsprenger erzeugt!"
"Cross_hammer_compensation","Der Schockwellenhammer wurde aus dem Spiel entfernt.

Bereits gekaufte Hämmer werden deiner Bank in Gold gutgeschrieben."
"DDS.IGP.Sunset.Canvas.Body","Dieses Spiel ist ab dem 31. März 2022 nicht mehr auf Facebook spielbar. Du kannst jedoch weiterhin die mobile Version auf Android und iOS spielen."
"DiDS.IGP.Sunset.Canvas.Download","Jetzt KOSTENLOS herunterladen"
"DiDS.IGP.Sunset.Canvas.QRCode","Scanne den QR-Code mit deinem Mobilgerät, um das Spiel kostenlos herunterzuladen."
"Hint_Bottles_mode","Verbinde die Flakons!"
"Hint_Box_mode","Verbinde die Schatulle!"
"Hint_Diamond_mode","Verbinde unter dem Diamanten!"
"Hint_Dolls_mode","Verbinde die Puppen!"
"Level","Level {0}"
"NEW_KEY_1","Consent for Providing Personal Data to Third Parties 

Please see here for further information: www.king.com/ko/TTP-information"
"NEW_KEY_2","Consent for Overseas Transfer of Personal Data 

Please see here for further information: www.king.com/ko/TTP-information"
"PP_Title","Privacy Policy"
