"1kSurvey_LevelReached","Eindelijk, het is tijd voor level 1000!

Dankzij jou en andere sieradenmakers uit de hele wereld hebben we dit fantastische level kunnen maken.

Je zult er zeker van genieten!"
"1kSurvey_Presentation","Joehoe! Je bent al een tijdje bezig met dit fantastische avontuur.

Jij hebt vast wel ideeën over hoe het 1000e level eruit zou moeten zien..."
"1kSurvey_PresentationOptOut","Nee, bedankt"
"1kSurvey_Q1","Mooi, laten we beginnen. Welk speltype vind jij het leukst?"
"1kSurvey_Q1A1","Raak de lijn"
"1kSurvey_Q1A2","Poppetjes"
"1kSurvey_Q1A3","Juwelenkistjes"
"1kSurvey_Q2A1","Vogels"
"1kSurvey_Q2A2","Explosieven"
"1kSurvey_Q2A3","Kleurenbom"
"1kSurvey_Q2T1T2T3","Interessant… En wat helpt je het meest om een level te halen?"
"1kSurvey_Q3A1","Kort"
"1kSurvey_Q3A2","Lang"
"1kSurvey_Q3A3","Beide"
"1kSurvey_Q3T1","Ik vind die vogeltjes ook erg leuk! Speel je het liefst korte of langere levels?"
"1kSurvey_Q3T2","Die kleurrijke explosies! Speel je het liefst korte of langere levels?"
"1kSurvey_Q3T3","Zeg die kleur maar gedag! Speel je het liefst korte of langere levels?"
"1kSurvey_Q4A1","Boosters maken"
"1kSurvey_Q4A2","Blokkeringen verwijderen"
"1kSurvey_Q4A3","Diamanten verzamelen"
"1kSurvey_Q4T1T2T3","Ik ook! En wat doe je het liefst in die levels?"
"1kSurvey_Q5A1","Linten"
"1kSurvey_Q5A2","Bloemen"
"1kSurvey_Q5A3","Broches"
"1kSurvey_Q5T1T2T3","Goed denkwerk! Obstakels kunnen je het leven moeilijk maken… welke obstakels vind jij het lastigst?"
"1kSurvey_Q6A1","Parfum"
"1kSurvey_Q6A2","Zwaartekracht"
"1kSurvey_Q6A3","Slot en sleutel"
"1kSurvey_Q6T1T2T3","Ja, die vind ik ook vervelend! En wat vind je het leukst?"
"1kSurvey_Thanks","Fantastisch! Bedankt voor je hulp! 

Het 1000e level wordt vast geweldig, dankzij jouw feedback en die van andere sieradenmakers. 

Blijf spelen, je bent er bijna!"
"3_moves_reminder","3 zetten over!"
"5_moves_reminder","5 zetten over!"
"Bernadetta_bottles_intro","Open de flesjes en kijk wat er gebeurt!"
"Bernadetta_bottles_outro","Open alle flesjes!"
"Bernadetta_box_intro","In de juwelenkistjes zijn diamanten verborgen!"
"Bernadetta_box_outro","Open alle kistjes!"
"Bernadetta_diamond_intro","We hebben geen tijd te verliezen. Verzamel diamanten!"
"Bernadetta_diamond_outro","Goed zo!"
"Bernadetta_doll_intro","In de poppetjes zijn diamanten verborgen!"
"Bernadetta_doll_outro","Verzamel ze allemaal!"
"Bernadetta_hybrid_intro","Verzamel alle diamanten!"
"Bernadetta_hybrid_outro","Je hebt ze allemaal!"
"Block.Signin_button","Aanmelden"
"Block_Body","Meld je aan en ga spelen"
"Block_celebratory_message","Je bent aangemeld!"
"Block_connectingserver","Verbinden"
"Block_welcome","Welkom!"
"Cheering_text_blast_created","Explosief gemaakt!"
"Cheering_text_color_blast_created","Kleurexplosief gemaakt!"
"Cheering_text_cross_created","Kruisexplosief gemaakt!"
"Cheering_text_cross_ray_created","Kruisstraal gemaakt!"
"Cheering_text_ray_created","Straal gemaakt"
"Cheering_text_star_created","Sterexplosief gemaakt!"
"Cross_hammer_compensation","Het spijt ons, maar we hebben de kruisexplosiehamer verwijderd!

Als je hamers had gekocht, storten we goud terug naar je account."
"DDS.IGP.Sunset.Canvas.Body","Je kunt dit spel vanaf 31-03-22 niet meer spelen via Facebook, maar je kunt nog wel de mobiele versie spelen via Android of iOS"
"DiDS.IGP.Sunset.Canvas.Download","Download nu GRATIS"
"DiDS.IGP.Sunset.Canvas.QRCode","Scan de QR-code met je mobiele telefoon om het spel gratis te downloaden."
"Hint_Bottles_mode","Combineer de flesjes!"
"Hint_Box_mode","Combineer het kistje!"
"Hint_Diamond_mode","Combineer onder de diamant!"
"Hint_Dolls_mode","Combineer de poppetjes!"
"Level","level {0}"
