"1kSurvey_LevelReached","Endelig er brett 1000 her!

Takket være deg og andre mesterlige gullsmeder rundt om i verden har vi kunnet lage et fantastisk brett.

Jeg er sikker på at du vil like det!"
"1kSurvey_Presentation","Hurra! Det er en stund siden du la ut på denne vidunderlige reisen.

Du har sikkert noen gode forslag til hvordan vi kan gjøre brett 1000 fantastisk …"
"1kSurvey_PresentationOptOut","Nei takk"
"1kSurvey_Q1","Supert, da starter vi! Hvilken spillvariant liker du best?"
"1kSurvey_Q1A1","Treff linjen"
"1kSurvey_Q1A2","Dukker"
"1kSurvey_Q1A3","Smykkeskrin"
"1kSurvey_Q2A1","Fugler"
"1kSurvey_Q2A2","Eksplosjoner"
"1kSurvey_Q2A3","Fargeeksplosjon"
"1kSurvey_Q2T1T2T3","Interessant … Og hvilket hjelpemiddel synes du er mest nyttig på brettene?"
"1kSurvey_Q3A1","Korte"
"1kSurvey_Q3A2","Lange"
"1kSurvey_Q3A3","Begge"
"1kSurvey_Q3T1","Jeg liker også fuglene! Foretrekker du korte eller lange brett?"
"1kSurvey_Q3T2","Fargerike eksplosjoner! Foretrekker du korte eller lange brett?"
"1kSurvey_Q3T3","Vink farvel til denne fargen! Foretrekker du korte eller lange brett?"
"1kSurvey_Q4A1","Lage boostere"
"1kSurvey_Q4A2","Fjerne hindringer"
"1kSurvey_Q4A3","Samle diamanter"
"1kSurvey_Q4T1T2T3","Samme her! Hva liker du best å gjøre på brettene?"
"1kSurvey_Q5A1","Sløyfer"
"1kSurvey_Q5A2","Blomster"
"1kSurvey_Q5A3","Brosjer"
"1kSurvey_Q5T1T2T3","Du tenker strategisk! Hindringer gjør ting vanskeligere … Hvilken hindring er mest vrien, synes du?"
"1kSurvey_Q6A1","Parfyme"
"1kSurvey_Q6A2","Tyngdekraft"
"1kSurvey_Q6A3","Lås og nøkkel"
"1kSurvey_Q6T1T2T3","Den er vrien, ja! Hvilket element synes du er morsomst?"
"1kSurvey_Thanks","Supert! Takk for hjelpen! 

Takket være innspillene fra deg og de andre gullsmedene kommer brett 1000 kommer til å bli fantastisk.

Spill videre, snart er du der!"
"3_moves_reminder","3 trekk igjen!"
"5_moves_reminder","5 trekk igjen!"
"Bernadetta_bottles_intro","Åpne flaskene og se hva som skjer!"
"Bernadetta_bottles_outro","Åpne alle flaskene!"
"Bernadetta_box_intro","Det er gjemt diamanter i smykkeskrin!"
"Bernadetta_box_outro","Åpne alle skrinene!"
"Bernadetta_diamond_intro","Vi har ingen tid å miste. Vi må begynne å samle diamanter!"
"Bernadetta_diamond_outro","Du klarer det!"
"Bernadetta_doll_intro","Det er gjemt diamanter i dukkene!"
"Bernadetta_doll_outro","Skaff alle!"
"Bernadetta_hybrid_intro","Samle alle diamantene!"
"Bernadetta_hybrid_outro","Du samlet alle sammen!"
"Block.Signin_button","Logg på"
"Block_Body","Logg på for å spille"
"Block_celebratory_message","Du logget på!"
"Block_connectingserver","Kobler til"
"Block_welcome","Velkommen!"
"Cheering_text_blast_created","Eksplosjon laget!"
"Cheering_text_color_blast_created","Fargeeksplosjon laget!"
"Cheering_text_cross_created","Krysseksplosjon laget!"
"Cheering_text_cross_ray_created","Krysstråle laget!"
"Cheering_text_ray_created","Stråle laget!"
"Cheering_text_star_created","Stjerneeksplosjon laget!"
