"1kSurvey_LevelReached","Finalmente è arrivato il livello 1000!

Grazie a te e agli altri abili gioiellieri di tutto il mondo, abbiamo creato questo straordinario livello.

Ti piacerà tantissimo!"
"1kSurvey_Presentation","Wow! Ne è passato di tempo da quando hai intrapreso questo straordinario viaggio.

Sicuramente potrai darci qualche idea per un gran livello 1000..."
"1kSurvey_PresentationOptOut","No, grazie"
"1kSurvey_Q1","Ottimo, iniziamo! Quale modalità di gioco preferisci?"
"1kSurvey_Q1A1","Tocca la linea"
"1kSurvey_Q1A2","Bambole"
"1kSurvey_Q1A3","Portagioie"
"1kSurvey_Q2A1","Uccelli"
"1kSurvey_Q2A2","Scoppi"
"1kSurvey_Q2A3","Bomba colore"
"1kSurvey_Q2T1T2T3","Interessante... E qual è il miglior aiuto per superare un livello?"
"1kSurvey_Q3A1","Corti"
"1kSurvey_Q3A2","Lunghi"
"1kSurvey_Q3A3","Tutti"
"1kSurvey_Q3T1","Gli uccellini sono davvero adorabili, è vero! Preferisci i livelli lunghi o quelli corti?"
"1kSurvey_Q3T2","Un'esplosione di colore! Preferisci i livelli lunghi o quelli corti?"
"1kSurvey_Q3T3","Salutiamo quel colore! Preferisci i livelli lunghi o quelli corti?"
"1kSurvey_Q4A1","Creare booster"
"1kSurvey_Q4A2","Rimuovere ostacoli"
"1kSurvey_Q4A3","Raccogliere diamanti"
"1kSurvey_Q4T1T2T3","Anche io! E che cosa preferisci fare in questi livelli?"
"1kSurvey_Q5A1","Nastri"
"1kSurvey_Q5A2","Fiori"
"1kSurvey_Q5A3","Spille"
"1kSurvey_Q5T1T2T3","Sagace! Certo, gli ostacoli complicano tutto... Secondo te quali sono i peggiori?"
"1kSurvey_Q6A1","Profumo"
"1kSurvey_Q6A2","Gravità"
"1kSurvey_Q6A3","Lucchetto"
"1kSurvey_Q6T1T2T3","Ora una domanda difficile: qual è, per te, l'elemento più divertente?"
"1kSurvey_Thanks","Favoloso! Grazie per l'aiuto! 

Grazie alla tua opinione e a quella di altri abili gioiellieri, il livello 1000 sarà grandioso. 

Continua a giocare, ci sei quasi!"
"3_moves_reminder","3 mosse rimaste!"
"5_moves_reminder","5 mosse rimaste!"
"Bernadetta_bottles_intro","Apri le boccette e guarda che cosa succede!"
"Bernadetta_bottles_outro","Apri tutte le bottiglie!"
"Bernadetta_box_intro","I portagioie nascondono i diamanti!"
"Bernadetta_box_outro","Apri tutti i portagioie!"
"Bernadetta_diamond_intro","Non c'è tempo da perdere. Andiamo a raccogliere diamanti!"
"Bernadetta_diamond_outro","Ottimo!"
"Bernadetta_doll_intro","Le matriosche nascondono i diamanti!"
"Bernadetta_doll_outro","Prendili tutti!"
"Bernadetta_hybrid_intro","Raccogli tutti i diamanti!"
"Bernadetta_hybrid_outro","Li hai raccolti tutti!"
"Block.Signin_button","Accedi"
"Block_Body","Accedi per iniziare a giocare"
"Block_celebratory_message","Hai effettuato l'accesso!"
"Block_connectingserver","Connessione in corso"
"Block_welcome","Ciao!"
"Cheering_text_blast_created","Esplosione creata!"
"Cheering_text_color_blast_created","Bomba colore creata!"
"Cheering_text_cross_created","Esplosione incrociata creata!"
"Cheering_text_cross_ray_created","Raggio incrociato creato!"
"Cheering_text_ray_created","Raggio creato"
"Cheering_text_star_created","Bomba caotica creata!"
"Cross_hammer_compensation","Purtroppo, abbiamo dovuto rimuovere il Martello esplosione incrociata!

Tutti quelli che hai acquistato ti verranno rimborsati in oro nel tuo Salvadanaio."
"DDS.IGP.Sunset.Canvas.Body","Questo gioco non sarà più disponibile su Facebook dal 31/03/2022, ma potrai ancora giocare la versione mobile su Android o iOS."
"DiDS.IGP.Sunset.Canvas.Download","Scarica ora GRATIS"
"DiDS.IGP.Sunset.Canvas.QRCode","Scansiona il codice QR con il cellulare per scaricare il gioco gratuitamente."
"Hint_Bottles_mode","Collega le boccette!"
"Hint_Box_mode","Collega il portagioie!"
"Hint_Diamond_mode","Collega le perline sotto il diamante!"
"Hint_Dolls_mode","Collega le matriosche!"
"Level","Livello {0}"
"NEW_KEY_1","Consent for Providing Personal Data to Third Parties 

Please see here for further information: www.king.com/ko/TTP-information"
"NEW_KEY_2","Consent for Overseas Transfer of Personal Data 

Please see here for further information: www.king.com/ko/TTP-information"
"PP_Title","Privacy Policy"
"PP_whole_text","Consent for the collection/use of personal data
Purposes of collection/use: (i) for the provision of services, managing your account and relationship with us, the handling of customer complaint, contacting you, identifying you and your device, provision of customized services, service improvements, promotion of our services, preventing cheating, crime and fraud and as otherwise set out in our Privacy Policy or required by law; and (ii), where you have chosen to allow it interacting with third party social networks and platforms, sending you push notifications and making use of your device’s advertising identifier.

^- Items of personal data collected/used: (i) age, gender, location (country), access time/date, information about the kind of device you use, IP address, information on your use of our services, information you provide us with when you fill in forms when using our services, content of communications between you and King, information automatically collected via cookie/local Storage/session Storage etc.; and (ii) where you have chosen to allow it, a) information shared with us by third party social networks and platforms e.g. your name and ID on that network/platform, your email address, your contact list and profile picture (b) information about your gameplay and use of our games; and (c) your device’s ad identifier.

^- Data retention/use period:  Your personal information will be destroyed without delay
once the purposes for which it was collected/used are fulfilled
unless otherwise provided in a privacy policy (e.g., if applicable law/regulation requires retention for a longer period).

^- You may refuse to give consent to the collection/use of personal data essential for the provision of the services. However, in the case of refusal, you may not use the services.

^Consent for Providing Personal Data to Third Parties

Please see here for further information: www.king.com/ko/TTP-information

^Consent for Overseas Transfer of Personal Data

Please see here for further information: www.king.com/ko/TTP-information"
"Pop_up_tips_title","Consigli"
"Run_out_CTAbutton_run","Corri!"
"TPP_00","Consent for the collection/use of personal data"
"TPP_01","Purposes of collection/use: (i) for the provision of services, managing your account and relationship with us, the handling of customer complaint, contacting you, identifying you and your device, provision of customized services, service improvements, promotion of our services, preventing cheating, crime and fraud and as otherwise set out in our Privacy Policy or required by law; and (ii), where you have chosen to allow it interacting with third party social networks and platforms, sending you push notifications and making use of your device’s advertising identifier."
"TPP_02","- Items of personal data collected/used: (i) age, gender, location (country), access time/date, information about the kind of device you use, IP address, information on your use of our services, information you provide us with when you fill in forms when using our services, content of communications between you and King, information automatically collected via cookie/local Storage/session Storage etc.; and (ii) where you have chosen to allow it, a) information shared with us by third party social networks and platforms e.g. your name and ID on that network/platform, your email address, your contact list and profile picture (b) information about your gameplay and use of our games; and (c) your device’s ad identifier."
"TPP_03","- Data retention/use period:  Your personal information will be destroyed without delay once the purposes for which it was collected/used are fulfilled unless otherwise provided in a privacy policy (e.g., if applicable law/regulation requires retention for a longer period)."
"TPP_03_1","- Data retention/use period:  Your personal information will be destroyed without delay"
"TPP_03_2","once the purposes for which it was collected/used are fulfilled"
"TPP_03_3","unless otherwise provided in a privacy policy (e.g., if applicable law/regulation requires retention for a longer period)."
"TPP_04","- You may refuse to give consent to the collection/use of personal data essential for the provision of the services. However, in the case of refusal, you may not use the services."
"TPP_Consent_Checkbox","I consent to the collection/use of my personal data, as set out above.
I consent to the provision of my personal data to third parties.
I consent to the overseas transfer of my personal data."
"TPP_Consent_Checkbox_1","I consent to the collection/use of my personal data, as set out above."
"TPP_Consent_Checkbox_2","I consent to the provision of my personal data to third parties."
