"1kSurvey_LevelReached","Finally, the level 1000 is here!

Thanks to you and other brilliant jewelers around the world we've made this amazing level.

I'm sure you will love it!"
"1kSurvey_Presentation","Woohoo! It's been a while since you started this wonderful journey.

I trust you to give some ideas about what a great 1000 level should be…"
"1kSurvey_PresentationOptOut","No, thanks"
"1kSurvey_Q1","Great, let's start! Which game mode do you like the most?"
"1kSurvey_Q1A1","Touch the Line"
"1kSurvey_Q1A2","Dolls"
"1kSurvey_Q1A3","Jewel Boxes"
"1kSurvey_Q2A1","Birds"
"1kSurvey_Q2A2","Blasts"
"1kSurvey_Q2A3","Color Bomb"
"1kSurvey_Q2T1T2T3","Interesting… And, which helper do you think is the best to succeed in a level?"
"1kSurvey_Q3A1","Short"
"1kSurvey_Q3A2","Long"
"1kSurvey_Q3A3","Both"
"1kSurvey_Q3T1","I like those birds too! Are you a fan of short levels or longer ones?"
"1kSurvey_Q3T2","Colorful blasts! Are you a fan of short levels or longer ones?"
"1kSurvey_Q3T3","Say bye to this color! Are you a fan of short levels or longer ones?"
"1kSurvey_Q4A1","Crafting Boosters"
"1kSurvey_Q4A2","Removing Blockers"
"1kSurvey_Q4A3","Collecting Diamonds"
"1kSurvey_Q4T1T2T3","Me too! What do you enjoy the most about playing these levels?"
"1kSurvey_Q5A1","Ribbons"
"1kSurvey_Q5A2","Flowers"
"1kSurvey_Q5A3","Brooch"
"1kSurvey_Q5T1T2T3","Strategic thinking! Obstacles make things difficult… which do you think is the hardest one?"
"1kSurvey_Q6A1","Perfume"
"1kSurvey_Q6A2","Gravity"
"1kSurvey_Q6A3","Lock & Key"
"1kSurvey_Q6T1T2T3","That’s a tough one! Which element is more fun for you?"
"1kSurvey_Thanks","Fantastic! Thanks for your help! 

The level 1000 will be amazing thanks to your opinion and that of other great jewelers like you. 

Keep playing, you're almost there!"
"3_moves_reminder","3 moves left!"
"5_moves_reminder","5 moves left!"
"Bernadetta_bottles_intro","Open the Bottles and see what happens!"
"Bernadetta_bottles_outro","Open all the bottles!"
"Bernadetta_box_intro","Diamonds are hidden inside Jewel Boxes!"
"Bernadetta_box_outro","Open all the Boxes!"
"Bernadetta_diamond_intro","To solve the mystery, we need diamonds!"
"Bernadetta_diamond_outro","You've got it!"
"Bernadetta_doll_intro","Diamonds are hidden inside the dolls!"
"Bernadetta_doll_outro","Get them all!"
"Bernadetta_hybrid_intro","Collect all the Diamonds!"
"Bernadetta_hybrid_outro","You've got all of them!"
"Block.Signin_button","Sign in"
"Block_Body","Sign in to start playing"
"Block_celebratory_message","You have successfully Signed in!"
"Block_connectingserver","Connecting"
"Block_welcome","Welcome!"
"Cheering_text_blast_created","Blast created!"
"Cheering_text_color_blast_created","Color Blast Created!"
"Cheering_text_cross_created","Cross Blast Created!"
"Cheering_text_cross_ray_created","Cross Ray Created!"
"Cheering_text_ray_created","Ray created"
"Cheering_text_star_created","Star Blast created!"
"Cross_hammer_compensation","Sorry we've removed the Cross Blast Hammer!

Any you bought will be refunded in Gold to your bank."
"DDS.IGP.Sunset.Canvas.Body","This game will no longer be available to play on Facebook from 31/03/22, but you can still play the mobile version on Android or iOS"
"DiDS.IGP.Sunset.Canvas.Download","Download now for FREE"
"DiDS.IGP.Sunset.Canvas.QRCode","Scan the QR code with your mobile phone to download the game for free."
"Hint_Bottles_mode","Link the Bottles!"
"Hint_Box_mode","Link the Box!"
"Hint_Diamond_mode","Link below the Diamond!"
"Hint_Dolls_mode","Link the Dolls!"
"Level","level {0}"
"NEW_KEY_1","Consent for Providing Personal Data to Third Parties 

Please see here for further information: www.king.com/ko/TTP-information"
"NEW_KEY_2","Consent for Overseas Transfer of Personal Data 

Please see here for further information: www.king.com/ko/TTP-information"
"PP_Title","Privacy Policy"
"PP_whole_text","Consent for the collection/use of personal data
Purposes of collection/use: (i) for the provision of services, managing your account and relationship with us, the handling of customer complaint, contacting you, identifying you and your device, provision of customized services, service improvements, promotion of our services, preventing cheating, crime and fraud and as otherwise set out in our Privacy Policy or required by law; and (ii), where you have chosen to allow it interacting with third party social networks and platforms, sending you push notifications and making use of your device’s advertising identifier.

^- Items of personal data collected/used: (i) age, gender, location (country), access time/date, information about the kind of device you use, IP address, information on your use of our services, information you provide us with when you fill in forms when using our services, content of communications between you and King, information automatically collected via cookie/local Storage/session Storage etc.; and (ii) where you have chosen to allow it, a) information shared with us by third party social networks and platforms e.g. your name and ID on that network/platform, your email address, your contact list and profile picture (b) information about your gameplay and use of our games; and (c) your device’s ad identifier.

^- Data retention/use period:  Your personal information will be destroyed without delay
once the purposes for which it was collected/used are fulfilled
unless otherwise provided in a privacy policy (e.g., if applicable law/regulation requires retention for a longer period).

^- You may refuse to give consent to the collection/use of personal data essential for the provision of the services. However, in the case of refusal, you may not use the services.

^Consent for Providing Personal Data to Third Parties

Please see here for further information: www.king.com/ko/TTP-information

^Consent for Overseas Transfer of Personal Data

Please see here for further information: www.king.com/ko/TTP-information"
"Pop_up_tips_title","Tips"
"Run_out_CTAbutton_run","Run!"
"TPP_00","Consent for the collection/use of personal data"
"TPP_01","Purposes of collection/use: (i) for the provision of services, managing your account and relationship with us, the handling of customer complaint, contacting you, identifying you and your device, provision of customized services, service improvements, promotion of our services, preventing cheating, crime and fraud and as otherwise set out in our Privacy Policy or required by law; and (ii), where you have chosen to allow it interacting with third party social networks and platforms, sending you push notifications and making use of your device’s advertising identifier."
"TPP_02","- Items of personal data collected/used: (i) age, gender, location (country), access time/date, information about the kind of device you use, IP address, information on your use of our services, information you provide us with when you fill in forms when using our services, content of communications between you and King, information automatically collected via cookie/local Storage/session Storage etc.; and (ii) where you have chosen to allow it, a) information shared with us by third party social networks and platforms e.g. your name and ID on that network/platform, your email address, your contact list and profile picture (b) information about your gameplay and use of our games; and (c) your device’s ad identifier."
"TPP_03","- Data retention/use period:  Your personal information will be destroyed without delay once the purposes for which it was collected/used are fulfilled unless otherwise provided in a privacy policy (e.g., if applicable law/regulation requires retention for a longer period)."
"TPP_03_1","- Data retention/use period:  Your personal information will be destroyed without delay"
"TPP_03_2","once the purposes for which it was collected/used are fulfilled"
"TPP_03_3","unless otherwise provided in a privacy policy (e.g., if applicable law/regulation requires retention for a longer period)."
"TPP_04","- You may refuse to give consent to the collection/use of personal data essential for the provision of the services. However, in the case of refusal, you may not use the services."
"TPP_Consent_Checkbox","I consent to the collection/use of my personal data, as set out above.
I consent to the provision of my personal data to third parties.
I consent to the overseas transfer of my personal data."
"TPP_Consent_Checkbox_1","I consent to the collection/use of my personal data, as set out above."
"TPP_Consent_Checkbox_2","I consent to the provision of my personal data to third parties."
"TPP_Consent_Checkbox_3","I consent to the overseas transfer of my personal data."
"TPP_Tittle","Consent for Processing Personal Data"
"TPP_button","Confirm"
"TheLab_ApplePayment_Body","You will receive a confirmation soon"
"TheLab_ApplePayment_Title","Processing transaction"
"Tip_blast","Link 6 pieces to create a blast from a random color."
"Tip_blast_title","Blast"
"Tip_color_blast","Link 12 pieces to create a Color Blast."
"Tip_color_blast_title","Color Blast"
"Tip_cross_blast","Link 9 pieces to create a Cross of a random color."
"Tip_cross_blast_title","Cross Blast"
"Tip_cross_ray_random","Link 9 pieces to create a Cross Ray of a random color."
"Tip_cross_ray_random_title","Cross Ray"
"Tip_linking","Link 3 or more Charms"
"Tip_linking_title","Link 3 Charms"
"Tip_long_link","Make a long link to create a Special Power!"
"Tip_longer_link","The longer the link, the better the Power!"
"Tip_ray_sequential","Link 6 pieces to create a Vertical or Horizontal Ray."
"Tip_ray_title","Ray"
"Tip_star_ray_random","Link 12 pieces to create a Star Blast"
"Tip_star_ray_random_title","Star Blast"
"Tips_Dolls_Title","Dolls"
"Tips_Not_Discovered","Keep playing to discover more tips."
"Tips_aiming","Powers can be moved along the link"
"Tips_aiming_title","Aiming"
"Tips_bird","Link the shiny piece to release a helpful Bird."
"Tips_bird_title","Birds"
"Tips_bottles","Open the bottles by linking them. "
"Tips_bottles_title","Bottles"
"Tips_boxes","Open the Jewel Boxes by linking them."
"Tips_boxes_title","Boxes"
"Tips_cancelling","To undo a link, just slide your finger out."
"Tips_cancelling_title","Undo a link"
"Tips_cross_ray_sequencial_title","Cross Ray"
"Tips_diamond","Bring the Diamond to the necklace to make a jewel"
"Tips_diamond_title","Diamonds"
"Tips_dolls","Link Dolls with pieces of the same color to open them"
"Tips_ray_cross_sequencial","Link 9 pieces to create a Cross Ray."
"Tips_ray_random","Link 6 pieces to create a Ray of a random color."
"Tips_ray_random_title","Ray"
"Tips_star_ray_sequencial","Link 12 pieces to create a Star Blast."
"Tips_star_ray_sequential_title","Star Blast"
"ToS_00","Terms of Service for users resident in Korea"
"ToS_01","1. About these terms"
"ToS_01.1","1.1 These terms create a legal agreement between you (“you” or “your”) and King.com Limited of Aragon Business Centre Level 4, Dragonara Road, St Julians STJ3140, Malta, a company registered in Malta with registration number C42504 (“King”, “we”, “us” or “our”) in relation to your download, access and/or use of King games (each a “Game” and together the “Games”). These terms also apply to any other services that we may provide in relation to the Games, such as customer support, social media, community channels and other websites that we may operate from time to time (we refer to all our Games and other services collectively as the \"Services\" in these terms). You agree that by downloading and/or accessing our Services, you are agreeing to these terms and our Privacy Policy (see paragraph 10 below). If you do not agree to these terms or any future updated version of them then you must not access and/or use, and must cease all access and/or use of, any of our Services. If we require that any future update to these terms requires any action from you in order to accept the updated terms, then you may not be able to continue to use the Services until you have taken such action."
"ToS_01.2","1.2 These terms apply to those of our players who are resident in Korea; if you are resident in another country then a different set of terms applies to you.  You can access the latest update of all country-specific versions of our terms, including these terms, at any time by visiting http://about.king.com/consumer-terms/ and selecting the flag corresponding to the country in which you are resident."
"ToS_01.3","1.3 You agree that you are at least 14 years old and that if you are between 14 years old and 19 years old, your legal guardian has reviewed and agrees to these terms and is happy for you to access and/or use our Services."
"ToS_01.4","1.4 We can make changes to these terms at any time in accordance with paragraph 14 below and your continued use of our Services shall confirm your acceptance of the updated terms."
"ToS_02","2. About accessing and using our Services"
"ToS_02.1","2.1 The specific game rules, scoring rules, controls and guidelines for each Game can be found within the Game itself. Such rules, scoring rules, controls and guidelines form part of these terms and you agree that you shall comply with them in respect of each individual Game which you choose to access and/or play."
